id,name,x_east_m,y_north_m,east_west_m,north_south_m,bbox_area_m2,center_lon_gcj02,center_lat_gcj02,confidence,source_type
B01,西北长条厂房,77.4,226.8,69.1,46.0,3179,121.4488122,31.0700512,medium,公开卫星影像估算
B02,西侧设备或厂房,80.0,176.0,74.2,35.8,2655,121.4488390,31.0695918,medium,公开卫星影像估算
B03,中部小型白顶库,200.2,130.8,53.7,34.8,1868,121.4500996,31.0691828,medium,公开卫星影像估算
B04,东北大型白顶库,379.2,193.3,150.9,62.4,9416,121.4519772,31.0697480,medium,公开卫星影像估算
B05,东北中型厂房A,335.8,135.4,74.2,46.0,3414,121.4515212,31.0692242,medium,公开卫星影像估算
B06,东北中型厂房B,421.4,135.4,71.6,46.0,3296,121.4524198,31.0692242,medium,公开卫星影像估算
B07,西南白顶厂房A,120.9,22.3,74.2,58.8,4362,121.4492682,31.0682018,medium,公开卫星影像估算
B08,西南白顶厂房B,197.6,22.8,69.1,57.8,3991,121.4500728,31.0682064,medium,公开卫星影像估算
B09,东南旧厂房群A,357.5,26.1,76.7,51.1,3924,121.4517492,31.0682363,low,公开卫星影像包络框估算
B10,东南旧厂房群B,438.1,32.5,48.6,79.3,3852,121.4525941,31.0682937,low,公开卫星影像包络框估算
