index,time_s,x,y,z,vx,vy,vz,speed,ax,ay,az,acceleration,path_s
0,0.0,15.0,15.0,0.7009999752044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,15.375,15.0,0.7009999752044678,1.5,0.0,0.0,1.5,3.0,0.0,0.0,3.0,0.375
2,1.0,16.125,15.0,0.7009999752044678,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.125
3,1.5,17.25,15.0,0.7009999752044678,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.25
4,2.0,18.75,15.0,0.7009999752044678,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.75
5,2.5,20.25,15.0,0.7009999752044678,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.25
6,3.0,22.125,15.0,0.7009999752044678,4.5,0.0,0.0,4.5,3.0,0.0,0.0,3.0,7.125
7,3.5,24.375,15.0,0.7009999752044678,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,9.375
8,4.0,27.0,15.0,0.7009999752044678,6.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,12.0
9,4.5,30.0,15.0,0.7009999752044678,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0
10,5.0,33.375,15.0,0.7009999752044678,7.5,0.0,0.0,7.5,3.0,0.0,0.0,3.0,18.375
11,5.5,37.125,15.0,0.7009999752044678,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,22.125
12,6.0,41.25,15.0,0.7009999752044678,9.0,0.0,0.0,9.0,3.0,0.0,0.0,3.0,26.25
13,6.5,45.75,15.0,0.7009999752044678,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,30.75
14,7.0,50.625,15.0,0.7009999752044678,10.5,0.0,0.0,10.5,3.0,0.0,0.0,3.0,35.625
15,7.5,56.25,15.0,0.7009999752044678,12.0,0.0,0.0,12.0,3.0,0.0,0.0,3.0,41.25
16,8.0,62.625,15.0,0.7009999752044678,13.5,0.0,0.0,13.5,3.0,0.0,0.0,3.0,47.625
17,8.5,69.75,15.0,0.7009999752044678,15.0,0.0,0.0,15.0,3.0,0.0,0.0,3.0,54.75
18,9.0,77.51516723632812,15.265165328979492,0.7009999752044678,16.060659408569336,1.0606601238250732,0.0,16.09564476920199,2.121318817138672,2.1213202476501465,0.0,2.9999988528392962,62.519693356873006
19,9.5,85.92049407958984,15.79549503326416,0.7009999752044678,17.560659408569336,1.0606601238250732,0.0,17.592662071501497,3.0,0.0,0.0,3.0,70.94173402035253
20,10.0,94.96598815917969,16.325824737548828,0.9661650061607361,18.621318817138672,1.0606601238250732,1.0606601238250732,18.681635749742796,2.121318817138672,0.0,2.1213202476501465,2.9999988528392962,80.00664026547076
21,10.5,104.54180908203125,16.856155395507812,1.761660099029541,19.681978225708008,1.0606601238250732,2.1213202476501465,19.824360427731513,2.121318817138672,0.0,2.1213202476501465,2.9999988528392962,89.63007049569903
22,11.0,114.64796447753906,17.65165138244629,2.8223202228546143,20.742637634277344,2.1213202476501465,2.1213202476501465,20.958459275746385,2.121318817138672,2.1213202476501465,0.0,2.9999988528392962,99.82282236365204
23,11.5,125.23579406738281,18.495805740356445,4.065150260925293,21.60866355895996,1.2552947998046875,2.8499999046325684,21.831917123678043,1.7320518493652344,-1.732050895690918,1.4573593139648438,2.8502456182149145,110.5167158785081
24,12.0,136.2566375732422,18.906946182250977,5.490150451660156,22.474689483642578,0.3892694115638733,2.8499999046325684,22.6580161867128,1.7320518493652344,-1.7320507764816284,0.0,2.44949045746256,121.63690713528054
25,12.5,147.62411499023438,18.886838912963867,6.9151506423950195,22.995203018188477,-0.46969857811927795,2.8499999046325684,23.17590296101529,1.0410270690917969,-1.7179360389709473,0.0,2.0087412955821478,133.0933713660849
26,13.0,158.90521240234375,18.435483932495117,8.340150833129883,22.12917709350586,-1.3357239961624146,2.8499999046325684,22.351893362444134,-1.7320518493652344,-1.732050895690918,0.0,2.4494905417562323,144.4730684483226
27,13.5,169.7532958984375,17.551115036010742,9.765151023864746,21.263151168823242,-2.201749324798584,2.8499999046325684,21.565987043812438,-1.7320518493652344,-1.7320506572723389,0.0,2.4494903731688904,155.4500283838824
28,14.0,180.16836547851562,16.233734130859375,11.19015121459961,20.397125244140625,-3.067774772644043,2.8499999046325684,20.822498883112843,-1.7320518493652344,-1.732050895690918,0.0,2.4494905417562323,166.04435669438516
29,14.5,190.58343505859375,14.916353225708008,12.615151405334473,21.263151168823242,-2.201749324798584,2.8499999046325684,21.565987043812438,1.7320518493652344,1.732050895690918,0.0,2.4494905417562323,176.63868500488792
30,15.0,200.99850463867188,13.59897232055664,14.040151596069336,20.397125244140625,-3.067774772644043,2.8499999046325684,20.822498883112843,-1.7320518493652344,-1.732050895690918,0.0,2.4494905417562323,187.23301331539068
31,15.5,210.93190002441406,12.065084457397461,15.4651517868042,19.33646583557129,-3.067774772644043,2.8499999046325684,19.784656997842863,-2.121318817138672,0.0,0.0,2.121318817138672,197.38465266132027
32,16.0,220.3349609375,10.796361923217773,16.890151977539062,18.275806427001953,-2.0071146488189697,2.8499999046325684,18.605271006549604,-2.121318817138672,2.1213202476501465,0.0,2.9999988528392962,206.97933019355315
33,16.5,229.20770263671875,9.792804718017578,18.31515121459961,17.215147018432617,-2.0071146488189697,2.8499999046325684,17.564518084369944,-2.121318817138672,0.0,0.0,2.121318817138672,216.021636047194
34,17.0,237.55010986328125,8.789247512817383,19.740150451660156,16.15448760986328,-2.0071146488189697,2.8499999046325684,16.526296578699526,-2.121318817138672,0.0,0.0,2.121318817138672,224.54416549704246
35,17.5,245.62734985351562,8.160690307617188,21.165149688720703,16.15448760986328,-0.5071146488189697,2.8499999046325684,16.411798641851497,0.0,3.0,0.0,3.0,232.7701920497393
36,18.0,253.4880828857422,7.690626621246338,22.59014892578125,15.28846263885498,-1.3731400966644287,2.8499999046325684,15.612338167011943,-1.7320499420166016,-1.732050895690918,0.0,2.44948919305708,240.7728607607885
37,18.5,261.13232421875,7.379056453704834,24.015148162841797,15.28846263885498,0.1268599033355713,2.8499999046325684,15.552352965102887,0.0,3.0,0.0,3.0,248.5550278337952
38,19.0,268.56005859375,7.225980281829834,25.440147399902344,14.42243766784668,-0.7391654849052429,2.8499999046325684,14.719903985875845,-1.7320499420166016,-1.7320507764816284,0.0,2.4494891087633612,256.11976795395634
39,19.5,275.7712707519531,7.23139762878418,26.86514663696289,14.42243766784668,0.7608345150947571,2.8499999046325684,14.721008012316544,0.0,3.0,0.0,3.0,263.47043003052386
40,20.0,282.7659912109375,7.395308494567871,28.290145874023438,13.556412696838379,-0.10519087314605713,2.8499999046325684,13.853154506580792,-1.7320499420166016,-1.7320507764816284,0.0,2.4494891087633612,270.6107104099543
41,20.5,289.32769775390625,7.126206874847412,29.715145111083984,12.690387725830078,-0.9712162613868713,2.8499999046325684,13.042687649203543,-1.7320499420166016,-1.7320507764816284,0.0,2.4494891087633612,277.330757378793
42,21.0,295.6728820800781,7.015598773956299,31.14014434814453,12.690387725830078,0.5287837386131287,2.8499999046325684,13.017221375183185,0.0,3.0,0.0,3.0,283.8349268961644
43,21.5,301.80157470703125,7.063484191894531,32.56514358520508,11.824362754821777,-0.33724164962768555,2.8499999046325684,12.167653263643968,-1.7320499420166016,-1.7320507764816284,0.0,2.4494891087633612,290.1272864817685
44,22.0,307.7137451171875,7.269863128662109,33.990142822265625,11.824362754821777,1.1627583503723145,2.8499999046325684,12.21843120025573,0.0,3.0,0.0,3.0,296.2122658613467
45,22.5,313.409423828125,7.634736061096191,35.41514205932617,10.958337783813477,0.29673296213150024,2.8499999046325684,11.326769923123496,-1.7320499420166016,-1.7320507764816284,0.0,2.4494891087633612,302.09482576845113
46,23.0,318.8885803222656,8.158102035522461,36.84014129638672,10.958337783813477,1.7967329025268555,2.8499999046325684,11.464550386455732,0.0,3.0,0.0,3.0,307.78039439930006
